refdate,bdi_code,symbol,specification_code,isin,strike_price,close,best_bid,best_ask,open,maturity_date,volume,traded_contracts,trade_quantity,distribution_id
2026-07-21,2,BRAV3,ON      NM,BRBRAVACNOR3,0.0,20.14,20.14,20.15,20.2,9999-12-31,96294897.0,4766700,12296,105
2026-07-22,2,BRAV3,ON      NM,BRBRAVACNOR3,0.0,20.37,20.37,20.4,20.35,9999-12-31,101788894.0,4994700,14919,105
2026-07-20,2,BRAV3,ON      NM,BRBRAVACNOR3,0.0,19.98,19.91,19.98,19.57,9999-12-31,122963654.0,6168800,11092,105
2026-07-24,2,BRAV3,ON      NM,BRBRAVACNOR3,0.0,20.64,20.51,20.64,20.45,9999-12-31,173642299.0,8496700,18526,105
2026-07-27,2,BRAV3,ON      NM,BRBRAVACNOR3,0.0,21.0,20.99,21.0,20.54,9999-12-31,345053067.0,16347100,21587,105
2026-07-23,2,BRAV3,ON      NM,BRBRAVACNOR3,0.0,20.58,20.57,20.59,20.45,9999-12-31,123529966.0,6015900,13545,105
