date,close
2020-11-12,20.450273513793945
2020-11-13,20.352426528930664
2020-11-16,20.54812240600586
2020-11-17,20.53833770751953
2020-11-18,20.450273513793945
2020-11-19,20.450273513793945
2020-11-23,20.567691802978516
2020-11-24,20.861236572265625
2020-11-25,22.62250328063965
2020-11-26,23.287872314453125
2020-11-27,23.48356819152832
2020-11-30,23.43464469909668
2020-12-01,23.48356819152832
2020-12-02,23.532493591308594
2020-12-03,23.972808837890625
2020-12-04,24.69688606262207
2020-12-07,25.86128044128418
2020-12-08,26.810407638549805
2020-12-09,27.319217681884766
2020-12-10,27.505130767822266
2020-12-11,28.826080322265625
2020-12-14,31.311424255371094
2020-12-15,33.60107421875
2020-12-16,33.26839065551758
2020-12-17,32.68130111694336
2020-12-18,33.31731414794922
2020-12-21,32.759578704833984
2020-12-22,33.75762939453125
2020-12-23,35.2253532409668
2020-12-28,36.85941696166992
2020-12-29,36.742000579833984
2020-12-30,36.399532318115234
2021-01-04,35.626529693603516
2021-01-05,36.7811393737793
2021-01-06,36.25275802612305
2021-01-07,35.714595794677734
2021-01-08,34.74589538574219
2021-01-11,32.77914810180664
2021-01-12,33.29774475097656
2021-01-13,34.05117416381836
2021-01-14,35.2253532409668
2021-01-15,34.550201416015625
2021-01-18,34.657833099365234
2021-01-19,34.833961486816406
2021-01-20,34.73611068725586
2021-01-21,34.24687194824219
2021-01-22,33.542362213134766
2021-01-26,31.595184326171875
2021-01-27,31.56583023071289
2021-01-28,32.77914810180664
2021-01-29,31.80066680908203
2021-02-01,32.34861755371094
2021-02-02,33.21946334838867
2021-02-03,33.52279281616211
2021-02-04,33.26839065551758
2021-02-05,33.82612228393555
2021-02-08,35.2253532409668
2021-02-09,34.92202377319336
2021-02-10,35.46018981933594
2021-02-11,34.422996520996094
2021-02-12,35.01987075805664
2021-02-17,36.888771057128906
2021-02-18,37.67155838012695
2021-02-19,37.05511474609375
2021-02-22,38.35649490356445
2021-02-23,37.54435348510742
2021-02-24,38.61090087890625
2021-02-25,37.182315826416016
2021-02-26,35.19599914550781
2021-03-01,38.07273483276367
2021-03-02,40.695068359375
2021-03-03,39.72637176513672
2021-03-04,40.616790771484375
2021-03-05,43.34675216674805
2021-03-08,42.66181564331055
2021-03-09,44.28609848022461
2021-03-10,45.499412536621094
2021-03-11,47.94561767578125
2021-03-12,46.47789764404297
2021-03-15,45.32328796386719
2021-03-16,43.52288055419922
2021-03-17,44.706844329833984
2021-03-18,41.62462615966797
2021-03-19,43.05320739746094
2021-03-22,41.879032135009766
2021-03-23,40.06884002685547
2021-03-24,40.31346130371094
2021-03-25,39.72637176513672
2021-03-26,38.55219268798828
2021-03-29,38.0140266418457
2021-03-30,38.454345703125
2021-03-31,37.378013610839844
2021-04-01,37.05511474609375
2021-04-05,36.32125473022461
2021-04-06,37.57371139526367
2021-04-07,38.99250793457031
2021-04-08,39.501319885253906
2021-04-09,38.96315383911133
2021-04-12,39.2077751159668
2021-04-13,39.10014343261719
2021-04-14,40.80270004272461
2021-04-15,41.09624481201172
2021-04-16,40.70485305786133
2021-04-19,42.07472610473633
2021-04-20,42.71073913574219
2021-04-22,43.13148880004883
2021-04-23,44.882972717285156
2021-04-26,44.178462982177734
2021-04-27,44.520931243896484
2021-04-28,44.814476013183594
2021-04-29,44.7459831237793
2021-04-30,42.730308532714844
2021-05-03,41.09624481201172
2021-05-04,40.11776351928711
